gene,pval,pval_adj,logfoldchanges,cluster
S100A12,4.213728754481797e-09,3.8895957733678126e-07,-24.74864,2
SLC2A1,1.0453565255041493e-09,1.1403889369136174e-07,-24.974392,2
PLAC8,1.4068052036297045e-08,1.2058330316826038e-06,-1.9701564,2
HMBS,5.408318723219653e-10,6.489982467863584e-08,-24.827763,2
MCM7,4.762500689667497e-11,6.350000919556663e-09,-26.149889,2
NPM1,3.301331806154474e-09,3.3013318061544736e-07,-3.0645585,2
HBA2,1.6729185876135508e-11,2.509377881420326e-09,-25.31616,2
S100A9,5.289116011798685e-12,9.067056020226317e-10,-2.512234,2
LYZ,5.921168168090593e-13,1.1842336336181185e-10,-2.7423866,2
PTP4A3,5.955843490036864e-17,2.3823373960147455e-14,-25.768833,2
IER2,5.08550697714847e-15,1.5256520931445408e-12,-2.8816102,2
PPP1R14B,2.8567467263279516e-18,3.4280960715935418e-15,-26.46864,2
LTB,4.9702542742341956e-17,2.3823373960147455e-14,-6.361055,2
CXCR4,2.4123097556678244e-18,1.8092323167508682e-16,21.335892,3
SRGN,2.747808044386344e-05,0.0003081653881554778,4.349443,3
MTRNR2L12,0.00040708664700994716,0.003126398646627013,1.918745,3
HERPUD1,0.0004090248496568264,0.003126398646627013,1.6457087,3
HSPA1B,0.0011256292983043014,0.0073013792322441165,3.2855253,3
RGS1,0.0012502712406888721,0.008050743600147667,3.3792045,3
HSP90AA1,0.0017626164827527764,0.01079152948624149,4.95378,3
IGKC,0.007612293174016503,0.03954438012476105,1.8849277,3
ARC,0.009392667819936444,0.046193448294769394,-23.566418,3
HES1,0.009007293685734564,0.044480462645602785,-23.81602,3
CDK6,0.010061055043551472,0.049278636948007215,-1.6509639,3
LEPR,0.008101717918970236,0.04017380786266233,-22.368755,3
SGCE,0.008101717918970236,0.04017380786266233,-22.368755,3
MUC20,0.008101717918970236,0.04017380786266233,-22.368755,3
CPNE5,0.008101717918970236,0.04017380786266233,-22.368755,3
CSF2RB,0.008101717918970236,0.04017380786266233,-22.368755,3
TCL1A,0.008101717918970236,0.04017380786266233,-22.368755,3
PTPRS,0.008101717918970236,0.04017380786266233,-22.368755,3
HCK,0.008101717918970236,0.04017380786266233,-22.368755,3
ALDH1A1,0.008101717918970236,0.04017380786266233,-22.368755,3
BATF3,0.008101717918970236,0.04017380786266233,-22.368755,3
UTS2,0.007584680141428853,0.03954438012476105,-23.023062,3
PLEKHG1,0.006609670854651911,0.034940991302124635,-22.73244,3
RAB32,0.006609670854651911,0.034940991302124635,-22.73244,3
NOP16,0.007861497456607962,0.04017380786266233,-2.0241795,3
RNF130,0.00728161174989495,0.03815691746669843,-2.0420198,3
PPBP,0.005790062186104133,0.030880331659222045,-25.924187,3
CCT2,0.006812983249529851,0.035857806576472896,-1.1800534,3
PF4,0.004871712709626341,0.026215494401576722,-24.215296,3
MCM7,0.005465648427138958,0.02928025943110156,-2.1777675,3
MARCH1,0.004637847066069257,0.025069443600374365,-22.561958,3
MDK,0.004637847066069257,0.025069443600374365,-22.561958,3
CKB,0.004637847066069257,0.025069443600374365,-22.561958,3
MT1G,0.004637847066069257,0.025069443600374365,-22.561958,3
NMNAT3,0.004637847066069257,0.025069443600374365,-22.561958,3
EPS8L1,0.004637847066069257,0.025069443600374365,-22.561958,3
IGHG1,0.004637847066069257,0.025069443600374365,-22.561958,3
TFR2,0.004637847066069257,0.025069443600374365,-22.561958,3
MBOAT2,0.004637847066069257,0.025069443600374365,-22.561958,3
EREG,0.00446944354554855,0.025069443600374365,-23.023062,3
GEM,0.0037256525285276256,0.0211885451859391,-23.81602,3
